GeneID	GSM8279311	GSM8279313	GSM8279314	GSM8279315	GSM8279316
148870	0	0	0	0	0
388588	0	2	0	1	1
57470	784	639	522	616	642
9731	997	847	712	763	784
1677	103	98	63	71	84
107984910	0	3	0	0	0
339448	333	269	192	234	249
100133612	22	19	20	25	21
728716	0	0	0	0	0
105376672	0	0	0	0	0
105376673	7	9	1	1	6
284661	1	0	0	0	0
105376674	0	0	0	0	0
105376679	0	0	0	0	0
107985376	0	0	0	0	0
55966	0	0	0	0	0
105376680	0	0	0	0	0
102724429	0	0	0	0	0
105376681	0	0	0	0	0
105376682	0	0	0	0	0
107984911	0	0	0	0	0
105376686	0	0	0	0	0
100616421	0	1	0	0	0
261734	241	247	164	194	215
8514	393	311	304	352	362
26038	0	0	1	2	0
105376687	0	0	0	0	0
6146	4813	3844	3150	3424	3599
107985733	22	23	16	21	17
102724450	0	0	1	0	0
388591	13	16	13	21	5
23463	1214	1015	734	735	812
148645	2	0	2	1	0
390992	0	0	0	0	0
387509	103	98	95	109	104
11332	1423	1205	905	915	987
54626	32	21	44	36	35
83715	16	9	7	17	14
100422975	0	0	0	0	0
8718	61	52	41	43	51
57449	259	246	183	203	220
79707	499	436	406	440	557
80835	2	3	0	0	0
107984912	0	0	0	0	0
3104	337	247	235	228	239
9903	5094	3782	3827	4101	3949
107984913	36	22	19	26	30
148479	804	600	542	651	680
90326	617	529	425	491	479
55735	1655	1373	1154	1311	1296
100505887	0	0	0	0	0
110841581	13	8	12	6	7
23261	1153	849	791	883	875
105376692	0	1	0	0	0
102725193	1	1	0	0	0
101928836	2	0	0	0	0
105376691	0	0	0	0	0
105376689	2	0	1	1	2
9341	5250	4407	3219	3550	3642
8863	1187	1115	712	808	894
10911	29	19	28	26	21
3604	676	523	610	670	694
11315	5471	4443	3582	3928	4173
54206	2067	1756	1615	1870	1792
107984915	4	1	2	5	2
102724539	2	2	2	0	1
105376695	2	0	0	0	0
50651	365	281	231	259	273
473	1169	1057	892	963	1082
102724552	1	0	2	0	1
106632271	0	0	0	0	0
2023	51446	43959	32610	36385	38643
102465436	1	1	1	3	2
100505975	24	13	20	20	19
112268261	3	1	1	1	2
765	0	0	0	0	0
155184	0	0	0	0	0
6518	22	26	13	19	16
80045	547	425	301	373	396
106614088	497	492	238	254	360
407040	2	4	1	2	3
102724571	159	128	99	103	95
9563	3505	3184	2342	2545	2783
80176	2021	1680	1843	2001	1941
100506022	37	32	11	18	26
84275	972	748	651	781	749
199953	444	427	375	410	420
107985734	6	8	5	8	6
105376712	0	0	0	0	0
5293	1428	1263	1167	1342	1313
644997	0	0	0	0	0
101929074	62	61	35	41	40
22883	3347	2909	2297	2635	2757
56998	210	211	145	161	182
105376717	9	11	6	7	10
84328	1022	820	663	791	696
64802	543	422	371	416	464
113391335	0	3	1	0	0
100847055	0	0	0	0	0
116362	1	0	0	0	0
10277	4139	3592	2661	3027	3069
23095	2477	2307	1881	2029	2065
105376725	2	1	2	1	3
5226	19881	16085	16111	18115	18035
100526739	220	194	189	207	206
378708	237	212	200	215	217
1325	20	13	12	11	14
1676	2094	1646	1532	1671	1691
5195	663	528	493	555	547
54897	4	3	6	4	3
105376733	0	0	0	0	0
105376735	0	0	0	0	0
148345	0	0	0	1	1
23435	3131	2586	2194	2445	2468
10747	22	24	10	18	17
6723	2445	2023	1775	1931	1960
5394	1585	1420	1111	1175	1229
105376736	75	66	65	63	68
2475	2768	2482	1994	2214	2333
100873935	42	35	29	39	34
10218	1	4	3	10	6
29914	748	602	559	634	634
105376737	0	0	0	0	0
105376739	0	1	0	0	0
105376740	0	0	0	0	0
57540	1	0	0	0	0
112268221	1	0	0	0	0
101929181	1	4	0	2	0
26232	53	39	45	39	58
93611	865	734	589	615	653
26270	68	46	48	69	63
10459	798	670	550	617	591
374946	4	4	12	7	7
57085	2180	1932	1416	1558	1608
284498	255	248	147	188	198
102724659	0	0	0	0	0
4524	1323	1155	771	923	940
1185	1329	1202	988	1032	1110
100379251	167	165	116	126	133
4878	11	12	5	4	9
4879	0	0	0	1	1
26829	0	2	0	1	0
90231	1687	1422	1292	1302	1397
5351	5409	4726	3443	3804	4178
9927	4977	4327	3350	3849	3867
60672	1204	872	742	835	920
102466982	0	0	0	1	1
943	19	15	13	14	14
102465836	31	33	28	30	33
7133	1633	1429	1210	1296	1457
100616438	0	0	0	0	0
107984917	1	0	2	2	1
55187	2489	2338	1813	1972	2082
677885	1	4	0	3	3
105376744	1	0	0	0	0
9249	1985	1649	765	779	953
102466722	1	0	0	0	0
343066	0	1	0	0	0
126767	0	0	0	0	0
93190	16	15	13	6	16
390999	0	0	0	0	0
65121	1	0	0	0	0
105376745	0	0	0	0	0
440560	1	0	0	0	0
343069	3	1	4	4	5
65122	1	0	0	0	0
400735	2	0	1	1	1
343071	0	0	0	0	0
441871	0	0	0	0	0
440561	0	0	0	0	0
101929983	0	0	0	0	0
649330	1	1	0	0	0
441873	0	0	0	0	0
649324	0	0	0	0	0
440563	2	0	0	0	1
645354	0	0	0	0	0
645359	0	0	0	0	0
101060301	0	0	1	0	0
343070	0	0	0	0	0
400736	0	0	0	0	0
391003	0	0	0	0	0
343068	0	0	0	0	0
391002	0	0	0	0	0
645382	0	0	0	0	0
653619	1	0	0	0	0
729528	0	0	0	0	0
645414	0	0	0	0	0
391004	0	0	0	0	0
645425	0	0	0	0	0
126755	0	0	0	0	0
102724856	0	0	0	0	0
107984918	0	0	0	0	0
10630	1021	928	458	496	639
107984919	0	0	0	0	0
105378612	0	0	0	0	0
105376756	0	0	0	0	0
7799	855	737	595	652	717
23254	843	736	555	602	591
107985467	3	6	2	6	3
107985468	3	1	1	0	0
105376762	0	1	0	1	1
105376759	1	1	1	0	1
107985469	1	0	0	0	1
200197	8	10	5	4	6
55092	296	278	274	256	283
727684	0	0	0	0	0
114827	1564	1396	1048	1178	1267
101927417	475	425	305	352	358
101927441	42	39	28	41	35
79180	1998	1725	1554	1632	1528
11330	2	0	0	0	2
63036	0	1	1	1	0
105376767	0	1	0	0	0
51032	7	4	1	6	4
842	460	376	297	305	314
23341	1383	1159	1080	1287	1264
107397391	0	0	0	0	0
79814	45	24	32	40	39
84301	888	753	624	722	703
6248	136	129	87	119	115
23207	5915	5153	3770	3956	4306
284723	33	27	16	20	32
110806303	2	2	2	3	2
388595	0	0	0	0	0
54751	844	717	556	665	624
440567	317	265	227	244	260
729614	114	91	91	76	99
23013	2084	1906	1615	1835	1867
7709	1000	867	835	799	928
149563	0	0	0	0	0
27129	64	93	49	46	51
1187	7	9	6	5	9
1188	2	2	2	0	0
348487	184	126	107	120	126
1969	280	221	294	330	303
101927479	9	5	3	7	9
128272	0	0	0	1	1
101927546	23	22	15	19	16
79363	207	169	121	155	134
54455	1507	1356	1289	1448	1461
26099	3634	3111	2480	2795	2868
374955	1881	1560	1250	1421	1452
55707	1421	1219	1000	1105	1148
107984921	17	20	5	9	13
114819	85	75	49	63	68
26871	6	5	2	1	4
107985757	0	0	0	0	0
100132147	1	1	1	2	3
107985758	1	0	1	0	0
7195	0	0	0	0	1
55672	1241	1163	1100	1187	1063
105376794	180	172	121	138	151
84809	128	143	112	128	126
11209	109	105	49	60	68
107985736	2	3	1	2	0
26869	5	3	2	1	3
107985759	0	0	0	0	0
284729	2	0	0	0	0
100189045	0	0	0	0	0
6060	4	3	3	2	4
11223	22	24	11	24	24
100500876	0	0	0	0	0
100189298	0	0	0	0	0
112267871	4	2	0	2	0
7193	1	0	0	0	0
100189183	0	0	0	0	0
105376805	22	17	11	14	22
791226	0	0	0	0	0
26870	4	2	2	2	3
9696	639	552	380	432	465
4237	648	521	439	538	537
105376806	111	85	63	96	89
23400	1225	1071	1017	1110	1065
6390	2457	1902	1567	1681	1752
11240	1	1	0	1	0
105376808	0	0	0	0	0
400743	0	0	0	2	0
29943	2	0	0	1	0
51702	49	46	21	25	34
100616188	0	0	0	0	0
23569	1	2	1	3	5
353238	0	0	0	0	0
55920	1605	1268	1083	1199	1217
55160	1485	1283	996	1066	1120
107984028	0	0	0	0	0
81569	70	83	37	41	46
105376809	0	0	0	0	0
105376812	0	0	0	0	0
101927876	0	0	0	0	0
84966	0	0	0	0	0
105376814	0	0	0	0	0
127707	2	0	1	2	0
5081	0	0	0	0	0
80834	0	0	0	0	0
8659	731	624	523	519	542
100616120	0	0	0	0	0
100302276	0	0	0	0	0
126917	305	254	240	240	214
105376815	1	0	0	0	0
23352	8297	7632	7578	8404	8976
101927895	147	132	109	117	118
23065	3162	2807	2431	2632	2717
51154	1705	1353	1114	1259	1245
246181	34	33	27	22	19
22977	22	21	10	11	15
100506730	133	129	68	84	99
8574	1873	1538	1075	1145	1162
54896	1784	1475	1517	1630	1592
832	5380	4551	3435	3766	3827
105376819	0	0	0	2	0
105376818	0	0	0	0	1
105376817	0	0	0	0	0
105378614	0	0	0	0	0
440574	1730	1381	1170	1277	1346
100532736	621	519	492	519	537
644068	28	18	20	16	14
4681	213	170	206	206	217
3362	2	5	1	1	0
255104	1200	984	792	942	886
54546	0	0	0	0	0
105376823	1	2	1	0	2
23252	498	429	385	475	437
30814	0	0	0	0	0
5320	0	0	0	0	0
5322	0	0	0	0	0
26279	2	0	0	2	2
64600	0	0	0	1	0
391013	0	0	0	0	0
127733	3	1	1	0	2
101928017	0	0	0	0	1
105376825	0	0	0	0	0
105376826	0	0	0	0	0
105376827	0	0	0	0	0
105376828	0	0	0	0	0
127731	4	0	2	0	2
339505	2	5	0	2	3
55450	1756	1567	1043	1182	1341
79594	1143	1004	834	961	942
163933	37	22	28	26	32
978	4	11	6	11	6
65018	1763	1505	988	1067	1139
102464833	96	81	70	66	61
100861548	2053	1673	1329	1436	1522
1650	13465	11060	9746	10721	10753
57576	57	50	46	55	56
400745	234	180	331	359	319
112268222	792	698	488	603	566
50809	3706	3386	2677	2930	3052
8672	7210	6508	5436	6202	6275
105376830	0	1	1	0	1
105376829	1	0	0	0	0
100302155	0	0	0	0	0
1889	7381	6419	4280	4667	5114
100506801	10	10	5	5	10
105376832	0	0	0	0	0
84224	210	193	173	153	178
249	29	25	14	22	23
105376834	0	0	0	0	0
5909	25	19	37	38	42
84196	2018	1794	1320	1468	1495
401944	58	49	30	39	46
3339	657	753	466	461	545
23436	0	0	0	0	0
10136	0	0	0	0	0
101928043	7	7	2	6	7
29092	489	375	318	366	371
112268223	17	8	9	23	19
998	5855	4819	3837	4249	4166
54361	4	0	1	0	5
105376845	7	2	2	3	5
105376850	3	1	0	0	2
107985377	0	0	0	0	0
100616433	0	0	0	0	0
105376856	4	2	4	4	3
9923	1189	1025	999	1160	1122
2046	0	0	0	0	0
102466615	0	0	0	0	0
712	0	0	1	0	0
714	0	0	0	0	0
713	0	0	0	0	0
2048	1266	1006	774	813	862
100616391	0	0	0	0	0
100422914	23	22	13	21	14
646262	0	0	0	0	0
729059	5	1	1	4	0
23028	1338	1159	949	1038	1063
100422866	0	0	0	0	0
7798	955	856	688	785	836
3352	0	0	1	0	1
100996511	21	18	12	4	9
10236	2489	2184	1697	2003	2066
80818	524	425	321	361	360
148898	89	69	46	50	57
6920	29	23	9	17	17
55616	489	328	320	375	422
1870	2	2	3	2	2
101928163	1	0	0	0	0
105376859	5	10	5	1	5
3399	1265	1200	407	413	461
107984928	0	0	1	1	0
259283	0	0	1	2	0
6135	19701	16616	14453	15426	15725
6924	1539	1261	1138	1290	1293
100506963	176	147	124	136	150
57095	764	681	588	680	628
105376860	68	62	48	55	48
11313	1103	959	739	814	927
2582	1233	1032	1240	1359	1270
3155	1859	1458	1216	1338	1447
105376861	4	2	2	3	0
2517	431	341	238	263	287
1269	0	1	0	0	1
107984929	0	0	0	0	0
100616492	0	0	0	0	0
55629	1072	974	691	762	818
10772	2622	2197	1685	1911	1908
105378615	0	0	0	0	0
105376863	0	0	0	2	0
107984931	1	0	0	0	1
127294	16	11	6	9	7
107985737	1	0	0	0	0
105376864	0	0	0	0	0
58985	18	12	5	2	5
163702	23	18	14	18	21
284632	0	0	0	0	0
105376871	2	0	0	0	0
57822	4	1	0	0	2
90529	297	291	180	217	206
57185	1195	1127	786	915	913
100750325	4	3	2	4	3
11123	277	193	131	118	162
100506985	11	12	4	5	3
400746	0	0	0	0	0
10250	1290	1175	866	1077	1099
25932	15680	13562	9909	11392	11208
105376876	0	0	0	0	0
864	0	0	0	2	0
102465437	0	0	0	0	0
107984932	0	0	0	0	0
105376878	1	2	3	4	0
100616365	0	0	0	0	0
105376879	0	0	0	0	0
25949	2238	1878	1511	1737	1820
57035	1393	1218	749	829	978
105376882	1	1	0	0	1
6007	13	15	11	12	10
23585	3716	2975	2405	2768	2801
6006	1753	1404	1115	1247	1275
55219	1267	1150	1056	1147	1179
26119	1510	1240	897	1018	1005
57134	1080	894	647	686	713
57190	5846	5308	2704	3099	3230
56181	1287	1088	947	979	1009
646471	211	180	148	176	152
79000	204	192	148	129	164
164091	526	365	372	362	365
3925	575	471	406	471	421
100500808	27	36	18	27	21
105376885	0	0	0	0	0
5051	896	658	554	604	593
101928216	3	1	0	3	2
2134	6	8	1	2	2
7780	0	0	0	0	0
105376910	0	0	0	0	0
84676	1	1	2	4	0
149420	265	215	137	215	193
105376886	0	0	0	0	0
79927	0	1	0	0	0
110806296	0	0	0	0	0
51042	635	555	512	500	499
10256	0	1	0	0	1
378807	0	0	0	0	0
101928303	2	3	1	0	0
64793	244	193	175	210	213
83442	10282	8247	6247	6818	6724
91544	610	512	444	525	509
1043	0	0	0	0	0
55057	8	4	8	5	5
257101	0	0	0	0	0
79727	0	1	0	0	0
79947	1652	1400	1002	1111	1169
101928324	6	6	2	2	3
3151	2546	2048	1548	1846	1896
6195	499	424	450	469	490
100302190	0	0	0	0	0
105376888	1	0	0	0	0
101928728	16	15	16	10	21
8289	2241	1981	1449	1634	1619
55650	966	864	703	720	825
84243	733	688	610	616	660
2810	0	1	2	1	3
54707	803	657	620	660	670
63906	485	379	345	409	390
10726	3553	2940	2616	2866	2937
8431	0	0	1	0	0
126695	0	0	0	0	0
388610	306	242	203	203	237
115572	19	15	10	13	15
101928391	4	4	0	2	3
6548	4328	3825	3365	3787	3722
102723760	1	3	0	0	0
105376890	0	0	0	0	0
23038	2534	2176	1876	2084	2063
84065	1170	1003	827	908	911
644961	29	37	20	16	18
84958	615	519	571	679	638
9064	948	768	436	510	548
8547	3	1	0	0	0
388611	0	0	0	0	0
2827	42	42	47	41	46
10163	5846	5249	3845	4295	4249
105376892	6	6	2	4	8
27245	721	697	559	619	635
2268	1	1	2	1	3
111216282	0	1	0	0	0
2537	417	362	231	282	251
199870	482	403	310	330	350
23673	1546	1323	998	1094	1099
5511	1434	1187	963	1093	1061
677774	1	0	0	0	0
9473	1006	874	584	664	685
6118	898	744	612	666	689
27293	34	32	19	23	26
55113	1233	1048	704	789	783
2140	727	685	482	563	562
5724	7	6	6	2	3
22826	4614	3674	3213	3593	3614
93974	1523	1265	966	1063	1086
83667	9155	7583	5952	6500	6630
54797	986	756	740	749	777
65979	1409	1238	1024	1053	1101
1104	1805	1584	1404	1651	1659
8420	864	787	746	831	798
6080	25	28	12	14	22
26768	27	25	19	10	17
54952	439	397	334	378	352
85028	239	188	177	224	204
692212	0	2	2	1	1
677838	16	12	11	10	12
677825	5	7	5	7	4
692073	8	5	8	2	4
115273	21	17	28	25	30
6883	881	709	689	728	768
105378616	12	9	7	9	11
26824	1	1	0	0	0
10691	264	238	178	181	215
51441	2268	1853	1634	1794	1818
4985	4	3	9	9	8
2035	2768	2409	1939	2197	2293
399474	405	307	322	306	356
6429	2081	1855	1576	1833	1844
51102	654	530	462	480	491
10076	198	161	150	152	190
101928460	0	0	0	0	0
107984933	0	0	0	0	0
107984934	0	0	0	1	0
101929406	0	0	0	0	0
105378617	0	0	0	0	0
105378618	0	0	0	0	0
4146	5	4	4	3	2
100129196	10	8	7	7	4
7805	20	12	10	13	26
100616164	0	0	0	0	0
105378620	0	0	0	0	0
105378621	0	0	0	0	0
105378622	0	0	0	2	0
400748	0	0	0	0	0
9672	901	796	890	928	911
9698	1890	1761	1381	1549	1542
692234	2	0	0	1	0
692235	1	0	0	0	1
692200	0	0	0	0	0
107984935	10	5	3	5	8
79570	0	0	0	0	2
9410	990	787	632	713	786
51538	1338	1137	1029	1098	1102
2170	436	413	183	234	268
105378623	1	0	0	0	0
107985470	0	0	2	0	0
347735	172	143	124	153	165
105378625	0	0	0	0	0
105379772	0	0	0	0	0
149086	0	0	0	0	0
284551	0	0	0	0	0
105378626	1	0	0	0	0
64129	0	0	0	0	0
3061	102	82	60	67	79
553115	1830	1517	1159	1202	1214
107985471	68	57	40	38	41
105378628	4	1	2	3	3
1307	3288	2678	2133	2448	2569
101929444	7	18	19	15	12
576	702	639	451	582	574
100423028	0	0	0	1	0
90853	3443	2910	2082	2191	2250
8073	10693	9048	7019	8157	8170
10657	5155	4288	3264	3609	3663
55116	419	355	279	326	313
100847018	0	0	0	0	0
23633	3081	2718	2349	2564	2693
200081	4515	3936	3440	3768	3704
79140	76	70	46	49	47
56063	279	249	234	204	241
55721	71	55	46	46	47
149069	35	34	19	19	23
8668	7200	5676	5030	5466	5591
339483	85	92	54	75	78
84734	11	10	14	8	6
3932	0	0	0	0	0
3065	1757	1527	1257	1450	1498
65108	15	15	12	17	21
105378629	4	3	2	2	3
81629	143	139	85	109	126
100128071	32	40	29	30	45
55108	1970	1655	1277	1400	1522
728116	0	0	1	1	1
653121	478	379	316	315	329
102723870	15	11	7	8	12
339487	825	674	654	733	709
5928	4594	3850	3167	3431	3637
81493	1763	1624	1180	1334	1379
57648	1429	1236	1240	1280	1284
8565	12001	9970	8572	9593	9430
64766	759	677	526	609	611
252995	3	3	1	3	5
105378631	0	2	1	1	0
3208	18	22	12	17	18
113452	1086	881	955	999	975
105378632	1	0	3	2	3
127544	2153	1696	1448	1545	1592
204	5924	5014	4391	4660	4730
105378635	1	0	1	2	1
113451	364	303	244	275	244
112268224	1	1	1	3	0
55223	481	391	380	398	389
149076	263	191	175	166	182
127550	0	0	2	0	0
1912	2572	2301	1791	1965	1937
100500853	76	66	44	61	65
101929464	0	0	1	0	1
7579	516	429	347	398	405
114784	1284	1205	834	918	1011
105378638	0	0	0	0	0
127540	0	0	0	0	0
402779	0	0	0	0	0
84970	553	462	337	373	402
105378639	0	0	0	0	0
105378640	0	0	0	0	0
105378641	1	0	0	0	0
693137	0	0	0	0	0
105378642	8	5	3	1	3
2709	9	16	7	12	10
127534	1	3	2	2	6
2707	4	1	0	1	0
2701	0	1	0	2	0
113444	981	864	689	777	802
58512	2	6	3	5	5
653160	16	9	12	12	15
100506144	499	389	388	374	382
9204	790	610	516	577	594
79830	373	295	263	303	264
105378644	0	0	0	0	0
6421	4444	3857	3221	3698	3820
9202	2152	1865	1520	1851	1788
100861513	70	63	48	66	60
79932	3136	2652	2117	2426	2509
23154	2483	2132	1739	1958	2029
339488	16	17	6	12	10
105378645	3	0	2	1	2
5690	4083	3345	2697	3158	2997
105378646	0	0	0	0	0
127703	1339	1181	832	944	951
63967	24	16	20	21	15
192670	695	655	501	577	577
26523	1430	1270	1022	1151	1165
192669	844	723	573	652	691
105378647	0	0	0	0	0
27285	2	2	0	0	4
54936	951	779	645	636	813
1296	21	11	53	45	47
27095	2940	2433	2217	2419	2408
55700	6269	5336	5004	5384	5369
9967	2903	2887	2200	2518	2585
79729	66	69	60	64	79
55194	323	263	301	298	319
83931	2712	2376	2668	3170	3051
84967	729	625	645	679	702
127700	439	378	249	280	302
109616970	0	1	0	0	1
107984940	0	0	1	1	0
64960	2266	1887	1540	1652	1621
1441	1	0	0	0	0
107984941	0	0	0	0	0
105378648	0	0	0	0	0
2899	0	0	1	0	0
100422898	0	0	0	0	0
107984942	1	3	0	0	1
728431	253	249	169	178	192
80149	1020	978	604	688	760
102465438	2	1	1	1	2
64769	1284	1110	768	854	884
100847010	1	0	1	0	0
105378649	22	17	23	22	18
79753	467	397	381	376	371
7802	211	178	146	163	189
29889	1448	1328	1032	1186	1241
284654	0	0	0	0	0
54955	457	331	333	345	365
55143	53	47	33	40	41
284656	1	1	0	2	1
105378650	0	0	0	0	0
149175	252	216	214	223	221
79693	1018	790	781	861	839
127687	1708	1337	1142	1282	1273
4520	1332	1146	1100	1266	1272
3633	773	629	547	518	595
105378651	37	34	31	30	35
10946	2511	2090	1578	1865	1915
2275	132	113	108	136	133
51118	1171	984	859	970	923
5453	3	1	3	1	1
107985103	2	0	2	2	1
105378653	0	0	0	1	1
100500801	0	0	0	0	0
105378655	0	0	0	0	0
105378654	0	0	0	0	0
339442	0	0	0	0	0
105378657	0	0	0	0	0
107984943	0	0	0	0	0
105378656	0	0	0	0	0
105378658	0	0	0	0	0
105378660	0	0	0	0	0
64121	7175	5656	5158	5594	5565
100527950	89	59	47	54	61
26292	66	35	35	42	42
105378663	21	19	13	11	15
81025	23	21	12	12	19
54933	64	45	32	41	41
105378662	118	69	70	68	77
79647	2753	2181	2095	2309	2263
4725	2029	1714	1326	1437	1495
23499	11065	10542	8126	9323	9745
643314	2963	2905	2333	2679	2699
105378950	0	0	0	1	0
353500	60	60	43	43	56
192217	6	6	13	19	15
728448	200	178	132	139	153
8761	10856	9062	7233	8151	8160
101929516	1291	1075	807	973	1000
677834	5	0	0	3	2
26508	0	0	0	0	0
84618	0	0	0	0	0
51440	0	0	0	0	0
10450	932	742	669	741	739
656	15	10	8	9	13
64064	7	8	10	21	16
105378666	0	0	0	0	0
101929536	0	2	0	1	0
105378951	0	0	0	1	1
107985740	0	0	0	0	0
105378665	0	1	0	0	0
105378667	0	0	0	0	0
54802	730	533	543	593	598
4610	74	61	56	72	63
105378668	4	3	2	5	5
84879	529	448	387	461	467
105378669	1	4	3	1	4
10487	8253	7098	5356	6163	6271
5538	5072	4103	3354	3898	3668
105378671	0	0	1	0	1
6018	926	737	612	685	683
127391	0	0	3	0	2
10269	4781	3944	3054	3612	3370
1298	297	257	256	253	264
107984945	1	1	0	0	1
64744	809	680	483	547	520
65243	708	565	519	578	545
339559	212	165	93	118	124
105378672	10	8	6	3	3
64789	42	36	20	31	27
127396	82	67	38	43	53
105378673	3	5	1	2	4
9783	7501	6658	4403	5028	5013
105378675	21	10	17	25	23
105378674	2	1	0	0	0
100130557	121	103	77	94	88
4802	1395	1128	920	1029	1035
407034	0	0	0	0	0
407031	0	0	0	0	0
9132	2	3	0	3	2
105378676	0	0	0	0	0
163732	0	0	0	0	0
1503	1025	894	749	791	855
100507178	66	61	47	54	63
200172	5	9	6	5	10
22955	1009	803	795	786	831
100132074	1	1	2	1	1
101929901	0	0	1	0	0
105378678	2	1	0	1	2
1907	0	0	1	0	0
59269	363	335	237	224	245
2981	0	0	0	0	0
2980	0	0	0	0	0
22887	1819	1540	1377	1539	1561
284716	5	5	4	5	5
84217	0	0	0	2	0
728621	495	391	328	370	381
79717	438	333	319	391	391
10465	300	246	191	200	208
4904	21943	17680	16153	17922	17345
149461	0	1	1	1	0
64175	1166	961	699	783	890
79078	248	242	176	212	209
105378683	4	2	4	3	4
100129924	3	1	1	2	0
107984946	2	1	1	1	0
374969	200	173	130	130	156
114625	601	519	360	390	404
51058	228	174	147	140	152
339539	0	0	0	0	0
6513	3205	2905	2962	3088	3254
440584	64	48	45	43	43
440585	1	1	2	6	3
